metric,value,year,method,n_clusters
rae dc,9.603326963508662,2012,medoids,61
correlation,0.005852585519939539,2013,medoids,61
nrmse dc,3.996771128841747,2013,medoids,61
rae dc,7.610207548804312,2013,medoids,61
correlation,0.00604506072441006,2014,medoids,61
nrmse dc,6.591476046653262,2014,medoids,61
rae dc,12.914438223316438,2014,medoids,61
correlation,0.015200681666563853,2015,medoids,61
nrmse dc,7.883437123816978,2015,medoids,61
rae dc,16.548033671562436,2015,medoids,61
correlation,0.01629814040427413,2016,medoids,61
nrmse dc,8.638386958742226,2016,medoids,61
rae dc,20.091185222421164,2016,medoids,61
correlation,0.09369436722588265,2008,medoids,1
nrmse dc,12.691765858903375,2008,medoids,1
rae dc,6.289713132345845,2008,medoids,1
correlation,0.09905721069889606,2009,medoids,1
nrmse dc,12.601845715234576,2009,medoids,1
rae dc,6.899275525193642,2009,medoids,1
correlation,0.10187403713378673,2010,medoids,1
nrmse dc,12.474761931231528,2010,medoids,1
rae dc,8.497259101082411,2010,medoids,1
correlation,0.09742574289820571,2011,medoids,1
nrmse dc,13.723135916971907,2011,medoids,1
rae dc,9.10836831222104,2011,medoids,1
correlation,0.09941150364301692,2012,medoids,1
nrmse dc,12.971943218201174,2012,medoids,1
rae dc,8.103338837311362,2012,medoids,1
correlation,0.10240141896873715,2013,medoids,1
nrmse dc,13.908495324513249,2013,medoids,1
rae dc,9.735872248557925,2013,medoids,1
correlation,0.10315573615373781,2014,medoids,1
nrmse dc,15.670034816542739,2014,medoids,1
rae dc,12.504287741906474,2014,medoids,1
correlation,0.11181631026718013,2015,medoids,1
nrmse dc,16.960821970710835,2015,medoids,1
rae dc,18.116339440842992,2015,medoids,1
correlation,0.11466506711553322,2016,medoids,1
nrmse dc,16.123837354357253,2016,medoids,1
rae dc,16.804441277244575,2016,medoids,1
correlation,0.06837070507993004,2008,medoids,2
nrmse dc,5.669201825307934,2008,medoids,2
rae dc,3.7595138467586735,2008,medoids,2
correlation,0.07373354855294345,2009,medoids,2
nrmse dc,6.350643780652703,2009,medoids,2
rae dc,4.301490907203196,2009,medoids,2
correlation,0.07655037498783412,2010,medoids,2
nrmse dc,6.523512199862097,2010,medoids,2
rae dc,10.182919391761025,2010,medoids,2
correlation,0.0721020807522531,2011,medoids,2
nrmse dc,7.534644175982991,2011,medoids,2
rae dc,6.848856063316954,2011,medoids,2
correlation,0.07408784149706431,2012,medoids,2
nrmse dc,7.169148117525907,2012,medoids,2
rae dc,8.791763671896868,2012,medoids,2
correlation,0.07707775682278455,2013,medoids,2
nrmse dc,7.7169782243422596,2013,medoids,2
rae dc,7.304415959088988,2013,medoids,2
correlation,0.0778320740077852,2014,medoids,2
nrmse dc,9.608433118953753,2014,medoids,2
rae dc,11.012850494231012,2014,medoids,2
correlation,0.08649264812122752,2015,medoids,2
nrmse dc,11.001468737511118,2015,medoids,2
rae dc,16.3325166954581,2015,medoids,2
correlation,0.08934140496958061,2016,medoids,2
nrmse dc,11.074026457076178,2016,medoids,2
rae dc,17.60769738120105,2016,medoids,2
correlation,0.010002338762160279,2008,medoids,4
nrmse dc,3.01827415665248,2008,medoids,4
rae dc,3.208392208301581,2008,medoids,4
correlation,0.012341930283439032,2009,medoids,4
nrmse dc,4.060260377429144,2009,medoids,4
rae dc,5.044496008847263,2009,medoids,4
correlation,0.015158756718329705,2010,medoids,4
nrmse dc,4.921859485529571,2010,medoids,4
rae dc,11.096160082567286,2010,medoids,4
correlation,0.010710462482748687,2011,medoids,4
nrmse dc,5.3179956796147625,2011,medoids,4
rae dc,6.319554480368179,2011,medoids,4
correlation,0.012696223227559885,2012,medoids,4
nrmse dc,5.138504298580053,2012,medoids,4
rae dc,9.57393108292442,2012,medoids,4
correlation,0.015686138553280122,2013,medoids,4
nrmse dc,5.386770140279876,2013,medoids,4
rae dc,6.776279200118161,2013,medoids,4
