,Method,Metric,n_clusters,value
1575,,$CE_{av}$,2,0.0614731502110828
1576,,$NRMSE_{av}$,2,6.3390153009426164
1577,,$REE_{av}$,2,6.302538645529885
1590,,$CE_{av}$,4,0.012641344200132668
1591,,$NRMSE_{av}$,4,3.882609119629091
1592,,$REE_{av}$,4,6.4848328002166955
1605,,$CE_{av}$,8,0.00574253509635303
1606,,$NRMSE_{av}$,8,3.2396869452792223
1607,,$REE_{av}$,8,6.285513727080655
1620,,$CE_{av}$,16,0.006522486113105759
1621,,$NRMSE_{av}$,16,2.8511720596412418
1622,,$REE_{av}$,16,6.676834377835768
1635,,$CE_{av}$,32,0.003090439618996207
1636,,$NRMSE_{av}$,32,3.1885586775510624
1637,,$REE_{av}$,32,7.915440773214544
1650,,$CE_{av}$,48,0.004669684806297629
1651,,$NRMSE_{av}$,48,3.7104702737908037
1652,,$REE_{av}$,48,9.837521855794348
1665,,$CE_{av}$,61,0.004875055322918209
1666,,$NRMSE_{av}$,61,3.486822645866026
1667,,$REE_{av}$,61,9.025696605595947
1680,,$CE_{av}$,2,0.06141071675694858
1681,,$NRMSE_{av}$,2,6.334608786620741
1682,,$REE_{av}$,2,6.376803515801015
1695,,$CE_{av}$,4,0.012088284003431685
1696,,$NRMSE_{av}$,4,3.885529356283083
1697,,$REE_{av}$,4,6.728497059176418
1710,,$CE_{av}$,8,0.004815369104257727
1711,,$NRMSE_{av}$,8,3.349523770683698
1712,,$REE_{av}$,8,6.934023240091737
1725,,$CE_{av}$,16,0.0021726194682709643
1726,,$NRMSE_{av}$,16,3.0858855877359237
1727,,$REE_{av}$,16,7.147969572374167
1740,,$CE_{av}$,32,0.003269194668974351
1741,,$NRMSE_{av}$,32,2.8765000717887177
1742,,$REE_{av}$,32,5.978693166850793
1755,,$CE_{av}$,48,0.0005894086378777456
1756,,$NRMSE_{av}$,48,2.8649456703814953
1757,,$REE_{av}$,48,6.113129397563612
1770,,$CE_{av}$,61,0.004715577649055651
1771,,$NRMSE_{av}$,61,3.160916984714889
1772,,$REE_{av}$,61,7.742759185582206
1785,,$CE_{av}$,2,0.06202803509265242
1786,,$NRMSE_{av}$,2,6.358280063559027
1787,,$REE_{av}$,2,6.329793031208348
1800,,$CE_{av}$,4,0.012782082443822692
1801,,$NRMSE_{av}$,4,3.884390507984127
1802,,$REE_{av}$,4,6.440460751725478
1815,,$CE_{av}$,8,0.005633578148806051
1816,,$NRMSE_{av}$,8,3.3467088254228403
