metric,value,year,method,n_clusters
rae dc,8.88607953939252,2014,medoids,32
correlation,0.020457356008735144,2015,medoids,32
nrmse dc,6.822496029428323,2015,medoids,32
rae dc,13.86508820312969,2015,medoids,32
correlation,0.019133590692877123,2016,medoids,32
nrmse dc,6.83958304418979,2016,medoids,32
rae dc,15.216403610347408,2016,medoids,32
correlation,0.0018049038433051539,2012,medoids,48
nrmse dc,3.005820793144379,2012,medoids,48
rae dc,6.637877758200577,2012,medoids,48
correlation,0.006726436523763997,2013,medoids,48
nrmse dc,2.51256322767722,2013,medoids,48
rae dc,4.527623293199343,2013,medoids,48
correlation,0.0022781212902608003,2014,medoids,48
nrmse dc,4.546766282739364,2014,medoids,48
rae dc,8.552160768493648,2014,medoids,48
correlation,0.016074532670388386,2015,medoids,48
nrmse dc,6.231352517080224,2015,medoids,48
rae dc,13.17177056220343,2015,medoids,48
correlation,0.014750767354530367,2016,medoids,48
nrmse dc,6.861800800877379,2016,medoids,48
rae dc,14.94023260631622,2016,medoids,48
correlation,0.0028399286525984855,2012,medoids,61
nrmse dc,3.253067165548723,2012,medoids,61
rae dc,7.336348978771061,2012,medoids,61
correlation,0.00985575749398678,2013,medoids,61
nrmse dc,2.7920840077535107,2013,medoids,61
rae dc,5.092124849885529,2013,medoids,61
correlation,0.0031982427856816673,2014,medoids,61
nrmse dc,4.816152283805825,2014,medoids,61
rae dc,9.295054031775384,2014,medoids,61
correlation,0.019203853640611168,2015,medoids,61
nrmse dc,6.5216358828033,2015,medoids,61
rae dc,13.437081045014653,2015,medoids,61
correlation,0.017880088324753147,2016,medoids,61
nrmse dc,7.072092649425115,2016,medoids,61
rae dc,15.647083005147257,2016,medoids,61
correlation,0.08797015176820666,2012,medoids,2
nrmse dc,6.273445323808276,2012,medoids,2
rae dc,4.841587419002038,2012,medoids,2
correlation,0.09096006709392686,2013,medoids,2
nrmse dc,6.784718841603379,2013,medoids,2
rae dc,5.640929266991232,2013,medoids,2
correlation,0.09171438427892753,2014,medoids,2
nrmse dc,8.445073154364318,2014,medoids,2
rae dc,8.100764289219683,2014,medoids,2
correlation,0.10037495839236983,2015,medoids,2
nrmse dc,9.944734287474791,2015,medoids,2
rae dc,13.784252371199651,2015,medoids,2
correlation,0.10322371524072278,2016,medoids,2
nrmse dc,9.823316357531949,2016,medoids,2
rae dc,12.908836583421815,2016,medoids,2
correlation,0.013983838692488834,2012,medoids,4
nrmse dc,3.632311655024712,2012,medoids,4
rae dc,5.800878150606088,2012,medoids,4
