,metric,value,num_days,method
282,nrmse dc,1.397893626316027,48,medoids
283,rae dc,2.653392858141591,48,medoids
284,nrmse rdc,26.658356443141553,61,medoids
285,correlation,0.016270212715079224,61,medoids
286,nrmse dc,1.7733081949557714,61,medoids
287,rae dc,5.25113453760071,61,medoids
288,nrmse rdc,26.122800761402374,4,centroids
289,correlation,0.016797941931438798,4,centroids
290,nrmse dc,2.755434751716187,4,centroids
291,rae dc,1.9051849556922718,4,centroids
292,nrmse rdc,27.594548995200842,8,centroids
293,correlation,0.005377865546516092,8,centroids
294,nrmse dc,1.9333539142298015,8,centroids
295,rae dc,1.7204431051468843,8,centroids
296,nrmse rdc,26.724891237260323,12,centroids
297,correlation,0.004604833727606228,12,centroids
298,nrmse dc,1.6192020865561405,12,centroids
299,rae dc,1.7474937264397732,12,centroids
300,nrmse rdc,25.878471344253104,24,centroids
301,correlation,0.011226346588595226,24,centroids
302,nrmse dc,1.5788670557870075,24,centroids
303,rae dc,3.2214791398450773,24,centroids
304,nrmse rdc,26.119102267440606,48,centroids
305,correlation,0.00541370858213841,48,centroids
306,nrmse dc,1.3636051679294336,48,centroids
307,rae dc,2.2690252821587524,48,centroids
308,nrmse rdc,27.095316637082835,61,centroids
309,correlation,0.013002276746178376,61,centroids
310,nrmse dc,1.7440611562441408,61,centroids
311,rae dc,4.845051910707649,61,centroids
312,nrmse rdc,25.98744009636549,4,medoids
313,correlation,0.024999408252192712,4,medoids
314,nrmse dc,2.788401455467174,4,medoids
315,rae dc,2.0335203987900417,4,medoids
316,nrmse rdc,26.916703503885856,8,medoids
317,correlation,0.007400434546620871,8,medoids
318,nrmse dc,1.881999548424056,8,medoids
319,rae dc,2.410539444040184,8,medoids
320,nrmse rdc,26.947819964861853,12,medoids
321,correlation,0.005267465788863168,12,medoids
322,nrmse dc,1.727078496056901,12,medoids
323,rae dc,2.435475271582278,12,medoids
324,nrmse rdc,26.721182767166187,24,medoids
325,correlation,0.010472514622143492,24,medoids
326,nrmse dc,1.4508836698286733,24,medoids
327,rae dc,2.3024861446724545,24,medoids
328,nrmse rdc,26.50792749270678,48,medoids
329,correlation,0.008342760069226185,48,medoids
330,nrmse dc,1.4960900161322632,48,medoids
331,rae dc,2.800929316950947,48,medoids
332,nrmse rdc,26.355470566527227,61,medoids
333,correlation,0.0068079901765779605,61,medoids
334,nrmse dc,1.403103030904796,61,medoids
335,rae dc,2.843372692764791,61,medoids
336,nrmse rdc,26.308441008465767,4,centroids
337,correlation,0.01553958838723879,4,centroids
338,nrmse dc,2.714673157426844,4,centroids
339,rae dc,2.0918016967638917,4,centroids
340,nrmse rdc,26.248860112623195,8,centroids
341,correlation,0.010415929633869392,8,centroids
342,nrmse dc,2.053527124483873,8,centroids
343,rae dc,2.3126947676686846,8,centroids
344,nrmse rdc,25.71612713496938,12,centroids
345,correlation,0.004837596818241918,12,centroids
346,nrmse dc,1.7130790086660543,12,centroids
347,rae dc,2.1856448594632147,12,centroids
348,nrmse rdc,26.88430227256539,24,centroids
349,correlation,0.008034624492602505,24,centroids
350,nrmse dc,1.479561527059032,24,centroids
351,rae dc,2.440624655933643,24,centroids
352,nrmse rdc,26.866086148068405,48,centroids
353,correlation,0.0073812054804059946,48,centroids
354,nrmse dc,1.5577012848671032,48,centroids
355,rae dc,3.6501673859686212,48,centroids
356,nrmse rdc,26.542282221354963,61,centroids
357,correlation,0.00524355393692344,61,centroids
358,nrmse dc,1.5501631383706382,61,centroids
359,rae dc,1.59590790167087,61,centroids
360,nrmse rdc,26.245718847394652,4,medoids
361,correlation,0.026446073410979598,4,medoids
362,nrmse dc,2.8120158475705224,4,medoids
363,rae dc,2.189659954218894,4,medoids
364,nrmse rdc,26.887122832984144,8,medoids
365,correlation,0.007392191306081042,8,medoids
366,nrmse dc,1.8445577273166016,8,medoids
367,rae dc,2.3535826738274532,8,medoids
368,nrmse rdc,26.60874107791172,12,medoids
369,correlation,0.009539561455328416,12,medoids
370,nrmse dc,1.9481760901410257,12,medoids
371,rae dc,1.4714785963675368,12,medoids
372,nrmse rdc,26.752616429025647,24,medoids
373,correlation,0.01653259191282974,24,medoids
374,nrmse dc,2.0267308743667933,24,medoids
375,rae dc,6.156549185881442,24,medoids
376,nrmse rdc,26.65674633614797,48,medoids
377,correlation,0.01799634507083847,48,medoids
378,nrmse dc,1.7075495344571492,48,medoids
379,rae dc,4.569837454153114,48,medoids
380,nrmse rdc,26.364352919054596,61,medoids
381,correlation,0.0012332855072135773,61,medoids
382,nrmse dc,1.3200137401849903,61,medoids
383,rae dc,2.249619475790448,61,medoids
384,nrmse rdc,25.421627842453564,4,centroids
385,correlation,0.0165558143739577,4,centroids
386,nrmse dc,2.7248489562852303,4,centroids
387,rae dc,2.172748757460842,4,centroids
388,nrmse rdc,26.97939502453566,8,centroids
389,correlation,0.0060799282790899856,8,centroids
390,nrmse dc,1.9510206659925398,8,centroids
391,rae dc,1.9381758950906558,8,centroids
392,nrmse rdc,26.42224400861288,12,centroids
393,correlation,0.005262403324132747,12,centroids
394,nrmse dc,1.5628523067740006,12,centroids
395,rae dc,2.5130883597097724,12,centroids
396,nrmse rdc,26.51510245493355,24,centroids
397,correlation,0.012676674604946259,24,centroids
398,nrmse dc,1.6161172176004068,24,centroids
399,rae dc,3.304120755575214,24,centroids
400,nrmse rdc,26.979272007438215,48,centroids
401,correlation,0.009895686705770679,48,centroids
402,nrmse dc,1.737917646084919,48,centroids
403,rae dc,5.272957763105126,48,centroids
404,nrmse rdc,26.433096235926758,61,centroids
405,correlation,0.007706905973130507,61,centroids
406,nrmse dc,1.7878543507292697,61,centroids
407,rae dc,5.85689897311736,61,centroids
408,nrmse rdc,25.140838027950206,4,medoids
409,correlation,0.026446073410979598,4,medoids
410,nrmse dc,2.8268726058822415,4,medoids
411,rae dc,2.189659954218894,4,medoids
412,nrmse rdc,24.813193684648013,8,medoids
413,correlation,0.0030701419698960786,8,medoids
414,nrmse dc,1.7304062777797737,8,medoids
415,rae dc,1.7884962110206084,8,medoids
416,nrmse rdc,27.940866098617317,12,medoids
417,correlation,0.009350365813854622,12,medoids
418,nrmse dc,1.6741829142563327,12,medoids
419,rae dc,2.7208088871201603,12,medoids
420,nrmse rdc,27.021672950070485,24,medoids
421,correlation,0.007492394617363174,24,medoids
422,nrmse dc,1.3797471087240636,24,medoids
423,rae dc,2.6166347504802148,24,medoids
424,nrmse rdc,27.228775732668467,48,medoids
425,correlation,0.0071082425742412525,48,medoids
426,nrmse dc,1.415377228238001,48,medoids
427,rae dc,2.9294910886705896,48,medoids
428,nrmse rdc,26.821971856171306,61,medoids
429,correlation,0.005177680611076041,61,medoids
430,nrmse dc,1.5494258692947003,61,medoids
431,rae dc,4.762344619520274,61,medoids
432,nrmse rdc,26.81621205257839,4,centroids
433,correlation,0.016797941931438798,4,centroids
434,nrmse dc,2.74983874783271,4,centroids
435,rae dc,1.9051849556922718,4,centroids
436,nrmse rdc,26.202546689907184,8,centroids
437,correlation,0.006062181897831587,8,centroids
438,nrmse dc,1.9818612609041153,8,centroids
439,rae dc,1.8165413592476594,8,centroids
440,nrmse rdc,27.01574635158337,12,centroids
441,correlation,0.0095106799243998,12,centroids
442,nrmse dc,1.8183907731327047,12,centroids
443,rae dc,3.1490153015999427,12,centroids
444,nrmse rdc,27.1486381514821,24,centroids
445,correlation,0.007327989065778362,24,centroids
446,nrmse dc,1.7806241130948572,24,centroids
447,rae dc,4.747394464419893,24,centroids
448,nrmse rdc,26.540923314559347,48,centroids
449,correlation,0.013330104969184187,48,centroids
450,nrmse dc,1.7322404079800293,48,centroids
451,rae dc,4.679194321282564,48,centroids
452,nrmse rdc,27.10182053365629,61,centroids
453,correlation,0.004205219286740669,61,centroids
454,nrmse dc,1.722226220763676,61,centroids
455,rae dc,5.397815027979201,61,centroids
456,nrmse rdc,25.473869445092888,4,medoids
457,correlation,0.026393275766334323,4,medoids
458,nrmse dc,2.8363311187417035,4,medoids
459,rae dc,1.8085465111900298,4,medoids
460,nrmse rdc,27.26822173363317,8,medoids
461,correlation,0.0025963056444546773,8,medoids
462,nrmse dc,1.7929023513265516,8,medoids
463,rae dc,2.150361542127541,8,medoids
464,nrmse rdc,26.83061221916968,12,medoids
465,correlation,0.005632063691832667,12,medoids
466,nrmse dc,1.7304824431698138,12,medoids
467,rae dc,2.8445786812401432,12,medoids
468,nrmse rdc,26.8976501709049,24,medoids
469,correlation,0.003818693046049648,24,medoids
470,nrmse dc,1.4385462032150234,24,medoids
471,rae dc,2.610942709715648,24,medoids
472,nrmse rdc,27.00344565960674,48,medoids
473,correlation,0.00787161118713997,48,medoids
474,nrmse dc,1.4384220763098263,48,medoids
475,rae dc,3.3452460221872777,48,medoids
476,nrmse rdc,27.270926485574446,61,medoids
477,correlation,0.0021697308734633936,61,medoids
478,nrmse dc,1.2189767901353303,61,medoids
479,rae dc,2.0154379475067254,61,medoids
480,nrmse rdc,26.969710202395017,4,centroids
481,correlation,0.016797941931438798,4,centroids
482,nrmse dc,2.7524196438090303,4,centroids
483,rae dc,1.9051849556922718,4,centroids
484,nrmse rdc,25.77721714121167,8,centroids
485,correlation,0.01008748366514789,8,centroids
486,nrmse dc,2.030535686806721,8,centroids
487,rae dc,2.507738610430324,8,centroids
488,nrmse rdc,26.179095391889764,12,centroids
489,correlation,0.005422997988902667,12,centroids
490,nrmse dc,1.6717586807444669,12,centroids
491,rae dc,1.9976546359301737,12,centroids
492,nrmse rdc,26.91019674897679,24,centroids
493,correlation,0.005476325031308238,24,centroids
494,nrmse dc,1.4771635377047165,24,centroids
495,rae dc,3.6918390128571557,24,centroids
496,nrmse rdc,27.022330038470326,48,centroids
497,correlation,0.006082806704271526,48,centroids
498,nrmse dc,1.564999330991224,48,centroids
499,rae dc,4.359402576373289,48,centroids
500,nrmse rdc,27.021766424368526,61,centroids
501,correlation,0.006535306676321295,61,centroids
502,nrmse dc,1.3236901978462172,61,centroids
503,rae dc,3.181019631839895,61,centroids
504,nrmse rdc,24.987633717033663,4,medoids
505,correlation,0.026446073410979598,4,medoids
506,nrmse dc,2.8268726058822415,4,medoids
507,rae dc,2.189659954218894,4,medoids
508,nrmse rdc,26.83970676556684,8,medoids
509,correlation,0.0073444157128583765,8,medoids
510,nrmse dc,1.9605165577889172,8,medoids
511,rae dc,2.7968808211108325,8,medoids
512,nrmse rdc,27.640783849505905,12,medoids
513,correlation,0.0048609323737031085,12,medoids
514,nrmse dc,1.7314538879516066,12,medoids
515,rae dc,2.720113647880212,12,medoids
516,nrmse rdc,26.74113417563176,24,medoids
517,correlation,0.002593142395502901,24,medoids
518,nrmse dc,1.4715331731578007,24,medoids
519,rae dc,2.136218528647735,24,medoids
520,nrmse rdc,27.312594070901454,48,medoids
521,correlation,0.012142321440055115,48,medoids
522,nrmse dc,1.6931898657659776,48,medoids
523,rae dc,3.5522718121190304,48,medoids
524,nrmse rdc,26.633021956203397,61,medoids
525,correlation,0.009779436526609286,61,medoids
526,nrmse dc,1.6081317657658143,61,medoids
527,rae dc,3.3352912169743245,61,medoids
528,nrmse rdc,26.83278894994187,4,centroids
529,correlation,0.017271766081257467,4,centroids
530,nrmse dc,2.7457933086428024,4,centroids
531,rae dc,2.3462453105829777,4,centroids
532,nrmse rdc,27.15899761051003,8,centroids
533,correlation,0.008892564086815935,8,centroids
534,nrmse dc,2.0326422775755226,8,centroids
535,rae dc,1.1070721827701095,8,centroids
536,nrmse rdc,27.185074817581253,12,centroids
537,correlation,0.006150137755638441,12,centroids
538,nrmse dc,1.664236289949865,12,centroids
539,rae dc,2.7033653498659707,12,centroids
540,nrmse rdc,27.301164276249107,24,centroids
541,correlation,0.003036320020407546,24,centroids
542,nrmse dc,1.408506114282905,24,centroids
543,rae dc,2.3062559757007746,24,centroids
544,nrmse rdc,26.35051895790927,48,centroids
545,correlation,0.004264821217338288,48,centroids
546,nrmse dc,1.351230661393125,48,centroids
547,rae dc,2.5450586217975024,48,centroids
548,nrmse rdc,27.118885800918207,61,centroids
549,correlation,0.008418054936183972,61,centroids
550,nrmse dc,1.8488450688770568,61,centroids
551,rae dc,6.324067842797281,61,centroids
552,nrmse rdc,26.009312828443342,4,medoids
553,correlation,0.026446073410979598,4,medoids
554,nrmse dc,2.8120158475705224,4,medoids
555,rae dc,2.189659954218894,4,medoids
556,nrmse rdc,26.75780450304036,8,medoids
557,correlation,0.004199812050335816,8,medoids
558,nrmse dc,1.7440288152879788,8,medoids
559,rae dc,2.0911298891969357,8,medoids
560,nrmse rdc,26.579642699187264,12,medoids
561,correlation,0.006173252197973933,12,medoids
562,nrmse dc,1.6412357917706162,12,medoids
563,rae dc,2.686140894901606,12,medoids
564,nrmse rdc,26.077084218771933,24,medoids
565,correlation,0.01239508205267359,24,medoids
566,nrmse dc,1.655828629728205,24,medoids
567,rae dc,3.1336717799635454,24,medoids
568,nrmse rdc,26.179641571799113,48,medoids
569,correlation,0.004436882681187804,48,medoids
570,nrmse dc,1.756185708805021,48,medoids
571,rae dc,5.834197142281436,48,medoids
572,nrmse rdc,26.458999175695016,61,medoids
573,correlation,0.0051641064691558825,61,medoids
574,nrmse dc,1.2065442075069972,61,medoids
575,rae dc,3.460918073992455,61,medoids
576,nrmse rdc,26.445622919965714,4,centroids
577,correlation,0.01655491495121808,4,centroids
578,nrmse dc,2.7264296961407233,4,centroids
579,rae dc,2.2345445875056424,4,centroids
580,nrmse rdc,26.301601296002485,8,centroids
581,correlation,0.005960876287619099,8,centroids
582,nrmse dc,1.9770722965313432,8,centroids
583,rae dc,2.0923383547363876,8,centroids
584,nrmse rdc,27.33052509104139,12,centroids
